Year	Region	Result	Number
2008	Eastern Europe	Wounded	47
2008	MENA	Wounded	8528
2008	North America	Wounded	126
2008	Oceania	Wounded	0
2008	Russia	Wounded	360
2008	South America	Wounded	253
2008	South Asia	Wounded	6209
2008	Southeast Asia	Wounded	1060
2008	Sub-Saharan Africa	Wounded	899
2008	Western Europe	Wounded	76
2009	Central America	Wounded	1
2009	Central Asia	Wounded	7
2009	East Asia	Wounded	56
2009	Eastern Europe	Wounded	49
2009	MENA	Wounded	9851
2009	North America	Wounded	45
2009	Oceania	Wounded	50
2009	Russia	Wounded	249
2009	South America	Wounded	244
2009	South Asia	Wounded	6696
2009	Southeast Asia	Wounded	892
2009	Sub-Saharan Africa	Wounded	901
2009	Western Europe	Wounded	104
2010	Central America	Wounded	0
2010	Central Asia	Wounded	29
2010	East Asia	Wounded	14
2010	Eastern Europe	Wounded	21
2010	MENA	Wounded	7700
2010	North America	Wounded	17
2010	Oceania	Wounded	0
2010	Russia	Wounded	621
2010	South America	Wounded	149
2010	South Asia	Wounded	5273
2010	Southeast Asia	Wounded	634
2010	Sub-Saharan Africa	Wounded	1142
2010	Western Europe	Wounded	41
2011	Central America	Wounded	0
2011	Central Asia	Wounded	2
2011	East Asia	Wounded	32
2011	Eastern Europe	Wounded	1
2011	MENA	Wounded	6064.999999999
2011	North America	Wounded	3
2011	Russia	Wounded	595
2011	South America	Wounded	90
2011	South Asia	Wounded	5396
2011	Southeast Asia	Wounded	729
2011	Sub-Saharan Africa	Wounded	1485.000000003
2011	Western Europe	Wounded	93
